State,City,Name,Language,Time,Type,Price,Capacity,Booked
Chhattisgarh,Balod,VinayTalkiesBalod,Chattisgarhi,12:00,Balcony,90₹,30,2
Chhattisgarh,Balod,VinayTalkiesBalod,Chattisgarhi,12:00,FirstClass,60₹,200,0
Chhattisgarh,Balod,VinayTalkiesBalod,Chattisgarhi,15:00,Balcony,90₹,30,0
Chhattisgarh,Balod,VinayTalkiesBalod,Chattisgarhi,15:00,FirstClass,60₹,200,0
Chhattisgarh,Korba,NiharikaCinemasKorba,Chattisgarhi,15:30,Silver,50₹,20,0
Chhattisgarh,Korba,NiharikaCinemasKorba,Chattisgarhi,15:30,Gold,100₹,88,8
Chhattisgarh,Korba,NiharikaCinemasKorba,Chattisgarhi,15:30,Platinum,150₹,41,0
Chhattisgarh,Balod,VinayTalkiesBalod,Chattisgarhi,18:00,Balcony,90₹,30,0
Chhattisgarh,Balod,VinayTalkiesBalod,Chattisgarhi,18:00,FirstClass,60₹,200,0
Chhattisgarh,Korba,NiharikaCinemasKorba,Chattisgarhi,21:30,Silver,50₹,20,0
Chhattisgarh,Korba,NiharikaCinemasKorba,Chattisgarhi,21:30,Gold,100₹,88,0
Chhattisgarh,Korba,NiharikaCinemasKorba,Chattisgarhi,21:30,Platinum,150₹,41,0
